Customer ID,Recency,Frequency,Monetary,r_qt,f_qt,m_quartile,m_qt,RFM Score
1,289,3,5600,2,1,5,5,215
2,73,6,6459,4,4,5,5,445
3,223,4,3613,3,2,3,3,323
4,442,5,4339,1,3,4,4,134
5,425,5,2263,2,3,2,2,232
6,141,9,9439,3,5,5,5,355
7,143,8,4441,3,5,4,4,354
8,26,7,8192,5,4,5,5,545
9,142,7,4719,3,4,4,4,344
10,131,8,6693,4,5,5,5,455
11,103,8,5557,4,5,4,4,454
12,114,7,5047,4,4,4,4,444
13,259,5,3249,2,3,3,3,233
14,264,5,4010,2,3,3,3,233
15,82,5,2599,4,3,2,2,432
16,106,3,1907,4,1,1,1,411
17,103,8,8557,4,5,5,5,455
18,427,2,852,2,1,1,1,211
19,519,5,3953,1,3,3,3,133
20,77,4,2431,4,2,2,2,422
21,266,5,2422,2,3,2,2,232
22,14,5,1902,5,3,1,1,531
23,135,7,6804,4,4,5,5,445
24,145,4,2064,3,2,2,2,322
25,354,3,3395,2,1,3,3,213
26,185,3,2000,3,1,2,2,312
27,240,4,2891,3,2,2,2,322
28,309,4,4877,2,2,4,4,224
29,572,5,2229,1,3,2,2,132
30,58,4,1770,5,2,1,1,521
31,154,6,6204,3,4,5,5,345
32,864,5,4650,1,3,4,4,134
33,488,7,6593,1,4,5,5,145
34,301,1,1413,2,1,1,1,211
35,271,8,6569,2,5,5,5,255
36,26,4,2951,5,2,2,2,522
37,33,8,5934,5,5,5,5,555
38,237,4,2522,3,2,2,2,322
39,473,7,5773,1,4,5,5,145
40,278,6,5371,2,4,4,4,244
41,236,7,3714,3,4,3,3,343
42,20,6,4030,5,4,3,3,543
43,121,5,3217,4,3,3,3,433
44,69,4,2284,4,2,2,2,422
45,21,7,4984,5,4,4,4,544
46,146,8,7932,3,5,5,5,355
47,242,8,6455,3,5,5,5,355
48,26,3,2057,5,1,2,2,512
49,797,2,2460,1,1,2,2,112
50,199,4,2679,3,2,2,2,322
51,320,11,9451,2,5,5,5,255
52,83,8,7967,4,5,5,5,455
53,171,4,1184,3,2,1,1,321
54,121,5,1346,4,3,1,1,431
55,272,5,4345,2,3,4,4,234
56,540,4,3350,1,2,3,3,123
57,324,5,2129,2,3,2,2,232
58,157,4,1866,3,2,1,1,321
59,57,7,3986,5,4,3,3,543
60,293,8,6292,2,5,5,5,255
61,89,4,2698,4,2,2,2,422
62,487,3,976,1,1,1,1,111
63,364,6,5572,2,4,4,4,244
64,707,3,3731,1,1,3,3,113
65,67,6,2577,4,4,2,2,442
66,48,6,4495,5,4,4,4,544
67,297,2,1176,2,1,1,1,211
68,836,3,2309,1,1,2,2,112
69,226,3,2544,3,1,2,2,312
70,6,9,6827,5,5,5,5,555
71,430,2,2131,2,1,2,2,212
72,166,7,7038,3,4,5,5,345
73,571,2,1186,1,1,1,1,111
74,132,5,5713,4,3,5,5,435
75,209,3,3597,3,1,3,3,313
76,103,2,1072,4,1,1,1,411
77,780,2,1174,1,1,1,1,111
78,599,4,3732,1,2,3,3,123
79,791,3,3233,1,1,3,3,113
80,351,10,5561,2,5,4,4,254
81,348,5,2698,2,3,2,2,232
82,99,4,3828,4,2,3,3,423
83,159,8,7024,3,5,5,5,355
84,70,3,2764,4,1,2,2,412
85,254,7,5167,2,4,4,4,244
86,273,6,4323,2,4,4,4,244
87,244,2,1155,3,1,1,1,311
88,419,5,4595,2,3,4,4,234
89,3,7,6822,5,4,5,5,545
90,2,6,6608,5,4,5,5,545
91,92,6,6662,4,4,5,5,445
92,264,3,1652,2,1,1,1,211
93,299,3,2284,2,1,2,2,212
94,89,6,7378,4,4,5,5,445
95,109,4,2764,4,2,2,2,422
96,2,7,4413,5,4,4,4,544
97,235,3,4760,3,1,4,4,314
98,223,6,3526,3,4,3,3,343
99,660,4,2781,1,2,2,2,122
100,23,8,7854,5,5,5,5,555
101,123,8,4421,4,5,4,4,454
102,965,1,28,1,1,1,1,111
103,89,7,3228,4,4,3,3,443
104,542,4,4149,1,2,4,4,124
105,216,4,2636,3,2,2,2,322
106,56,3,3148,5,1,3,3,513
107,302,4,2514,2,2,2,2,222
108,262,11,7111,2,5,5,5,255
109,108,5,4790,4,3,4,4,434
110,459,3,1700,1,1,1,1,111
111,323,5,5940,2,3,5,5,235
112,560,2,518,1,1,1,1,111
113,333,4,2093,2,2,2,2,222
114,695,5,2515,1,3,2,2,132
115,199,7,7374,3,4,5,5,345
116,37,4,1052,5,2,1,1,521
117,29,6,6450,5,4,5,5,545
118,213,6,4586,3,4,4,4,344
119,436,6,5958,1,4,5,5,145
120,259,5,5209,2,3,4,4,234
121,499,5,3505,1,3,3,3,133
122,142,5,3562,3,3,3,3,333
123,27,3,2162,5,1,2,2,512
124,708,2,1344,1,1,1,1,111
125,37,6,3007,5,4,2,2,542
126,614,3,1665,1,1,1,1,111
127,952,1,170,1,1,1,1,111
128,382,2,2507,2,1,2,2,212
129,193,6,4308,3,4,4,4,344
130,165,4,2429,3,2,2,2,322
131,543,4,1953,1,2,1,1,121
132,246,3,4024,3,1,3,3,313
133,8,8,6495,5,5,5,5,555
134,187,4,5034,3,2,4,4,324
135,253,6,5356,2,4,4,4,244
136,370,8,8025,2,5,5,5,255
137,495,8,5393,1,5,4,4,154
138,232,2,898,3,1,1,1,311
139,68,7,5736,4,4,5,5,445
140,137,3,1180,4,1,1,1,411
141,329,9,8483,2,5,5,5,255
142,467,2,1770,1,1,1,1,111
143,179,8,5058,3,5,4,4,354
144,53,6,2692,5,4,2,2,542
145,143,10,8341,3,5,5,5,355
146,794,2,1181,1,1,1,1,111
147,147,7,4897,3,4,4,4,344
148,74,2,1038,4,1,1,1,411
149,203,6,7273,3,4,5,5,345
150,22,1,588,5,1,1,1,511
151,67,8,5607,4,5,5,5,455
152,270,4,2303,2,2,2,2,222
153,400,7,5243,2,4,4,4,244
154,9,11,11692,5,5,5,5,555
155,29,6,3719,5,4,3,3,543
156,114,5,2156,4,3,2,2,432
157,44,8,8622,5,5,5,5,555
158,340,4,3011,2,2,2,2,222
159,83,3,4038,4,1,3,3,413
160,903,2,612,1,1,1,1,111
161,69,5,2953,4,3,2,2,432
162,977,4,2153,1,2,2,2,122
163,644,4,2829,1,2,2,2,122
164,993,4,2063,1,2,2,2,122
165,170,6,5035,3,4,4,4,344
166,358,9,6385,2,5,5,5,255
167,469,4,3835,1,2,3,3,123
169,177,8,7116,3,5,5,5,355
170,44,8,5067,5,5,4,4,554
171,430,1,2290,2,1,2,2,212
172,452,6,2141,1,4,2,2,142
173,159,5,3461,3,3,3,3,333
174,40,2,642,5,1,1,1,511
175,225,4,4356,3,2,4,4,324
176,17,7,7277,5,4,5,5,545
177,92,4,3204,4,2,3,3,423
178,150,9,7621,3,5,5,5,355
179,11,5,2913,5,3,2,2,532
180,61,1,112,5,1,1,1,511
181,238,3,1820,3,1,1,1,311
182,34,7,3922,5,4,3,3,543
183,263,3,1604,2,1,1,1,211
184,99,9,7027,4,5,5,5,455
185,170,9,6276,3,5,5,5,355
186,397,3,1341,2,1,1,1,211
187,544,1,1461,1,1,1,1,111
188,64,4,3435,4,2,3,3,423
189,617,2,1167,1,1,1,1,111
190,1077,1,680,1,1,1,1,111
191,1144,2,187,1,1,1,1,111
192,44,8,4606,5,5,4,4,554
193,84,5,4529,4,3,4,4,434
194,21,6,4446,5,4,4,4,544
195,169,6,4780,3,4,4,4,344
196,442,5,2184,1,3,2,2,132
197,183,4,1945,3,2,1,1,321
198,139,7,8302,3,4,5,5,345
199,309,6,3200,2,4,3,3,243
